risk_decile,borrowers,defaults,observed_default_rate,min_pd,avg_pd,max_pd
1,20,16,0.8,0.8819441299064444,0.9311297318444464,0.9984588809662728
2,20,13,0.65,0.774421217350893,0.8289203239641951,0.8706716517383899
3,20,9,0.45,0.6447005616778948,0.7102917825272119,0.7729567560215241
4,20,4,0.2,0.5054377388107555,0.5792738978641169,0.6427471335205257
5,20,7,0.35,0.42223116184952675,0.4604779478890496,0.49747639319623926
6,20,3,0.15,0.32467086060559114,0.36099393503605354,0.42110902633127184
7,20,1,0.05,0.2094558415288508,0.2505145030343096,0.31208671818740796
8,20,2,0.1,0.14125067755074044,0.16922048271999662,0.2083777747354777
9,20,5,0.25,0.07181094230347769,0.09585154078210245,0.13309111334487905
10,20,0,0.0,0.008805077931571946,0.04001311015671304,0.07130544720849652
