feature,avg_contribution,avg_abs_contribution,positive_contribution_share
foreign_worker_A201,0.6310272029302805,0.6310272029302805,0.97
checking_account_status_A14,-0.386818207053196,0.386818207053196,0.0
savings_account_A61,0.3690035355767807,0.3690035355767807,0.64
other_installment_plans_A143,-0.3527464937710545,0.3527464937710545,0.0
duration_years,0.019575630628300603,0.29207429638195204,0.45
duration_months,0.019575630628300488,0.2920742963819507,0.45
personal_status_sex_A93,-0.2756558571923607,0.2756558571923607,0.0
credit_amount_per_month,0.06318955392027725,0.23895721188499686,0.395
credit_history_A34,-0.23232388258114745,0.23232388258114745,0.0
installment_burden_proxy,0.038556485290625914,0.19739304621563342,0.41
checking_account_status_A11,0.19200887208119474,0.19200887208119474,0.275
duration_bucket_medium_term,0.18735410533076485,0.18735410533076485,0.405
credit_amount,-0.032908237849250184,0.1809433205956863,0.64
credit_amount_bucket_low_amount,0.18077492443051665,0.18077492443051665,0.235
credit_amount_bucket_medium_high_amount,-0.17227090707735154,0.17227090707735154,0.0
credit_amount_log,0.023337577417149435,0.17034456507434392,0.5
installment_rate_pct_income,0.026900532904929525,0.1678529708701687,0.675
age_years,0.018109723737299306,0.1650429367235374,0.45
age_bucket_mid_career,-0.12470714281546334,0.12470714281546334,0.0
property_A121,-0.10202833948052868,0.10202833948052868,0.0
age_bucket_young,0.1008977973215307,0.1008977973215307,0.22
telephone_A191,0.10023936995251258,0.10023936995251258,0.605
employment_since_A74,-0.09745467742547095,0.09745467742547095,0.0
property_A124,0.09362300839982822,0.09362300839982822,0.15
people_liable,-0.009176126036730023,0.0924219414419451,0.135
existing_credits,-0.00042963034465197446,0.09130933714888621,0.345
purpose_A40,0.08869510135606434,0.08869510135606434,0.2
purpose_A41,-0.08732528302610425,0.08732528302610425,0.0
housing_A151,0.08533797975633048,0.08533797975633048,0.175
purpose_A43,-0.0815206428649192,0.0815206428649192,0.0
savings_account_A65,-0.07969675729719171,0.07969675729719171,0.0
job_A173,0.07763156647415508,0.07763156647415508,0.595
telephone_A192,-0.07179183024471754,0.07179183024471754,0.0
other_installment_plans_A141,0.07090417693219726,0.07090417693219726,0.135
duration_bucket_very_long_term,-0.06713052488936301,0.06713052488936301,0.0
checking_account_status_A12,0.06517197914738936,0.06517197914738936,0.275
housing_A153,-0.05462409373188822,0.05462409373188822,0.0
employment_since_A72,0.04946940984222456,0.04946940984222456,0.145
purpose_A46,0.049107467901691126,0.049107467901691126,0.05
property_A122,-0.04789525161497817,0.04789525161497817,0.0
high_credit_amount_flag,-0.0037688914849561706,0.046395054179810484,0.725
present_residence_since,-0.0034498054204714274,0.04510045619696321,0.425
long_duration_flag,0.0009828018576523176,0.04476662461606322,0.175
age_bucket_early_career,0.039923164042775364,0.039923164042775364,0.33
job_A172,0.03494766244122044,0.03494766244122044,0.21
other_debtors_guarantors_A103,-0.03221810416820218,0.03221810416820218,0.0
purpose_A42,0.03220469158022452,0.03220469158022452,0.16
credit_history_A30,0.03119946925308161,0.03119946925308161,0.045
employment_since_A71,0.02783357333950403,0.02783357333950403,0.105
age_bucket_senior,-0.027085466156063866,0.027085466156063866,0.0
property_A123,-0.02686522386668723,0.02686522386668723,0.0
personal_status_sex_A91,0.02366463844272751,0.02366463844272751,0.045
other_debtors_guarantors_A101,-0.02326684737716202,0.02326684737716202,0.0
savings_account_A64,-0.021763363926321208,0.021763363926321208,0.0
foreign_worker_A202,-0.019998302044112824,0.019998302044112824,0.0
savings_account_A62,0.01743436700895745,0.01743436700895745,0.065
duration_bucket_long_term,0.016022483202343656,0.016022483202343656,0.13
purpose_A410,-0.015815432892198632,0.015815432892198632,0.0
employment_since_A73,-0.015621189586980794,0.015621189586980794,0.0
other_debtors_guarantors_A102,0.015387774059840651,0.015387774059840651,0.035
savings_account_A63,0.01102764664042309,0.01102764664042309,0.065
credit_history_A31,0.010727489729287049,0.010727489729287049,0.04
purpose_A45,0.010047198654654475,0.010047198654654475,0.02
job_A171,-0.009159923628846085,0.009159923628846085,0.0
purpose_A49,-0.00808296416868532,0.00808296416868532,0.0
credit_history_A33,-0.007547109420835287,0.007547109420835287,0.0
credit_amount_bucket_high_amount,-0.007190692475316567,0.007190692475316567,0.0
purpose_A48,-0.005677276877458876,0.005677276877458876,0.0
housing_A152,-0.005097584119680887,0.005097584119680887,0.0
employment_since_A75,-0.004579681949311182,0.004579681949311182,0.0
other_installment_plans_A142,-0.004548447111358575,0.004548447111358575,0.0
personal_status_sex_A94,-0.0045070484409448185,0.0045070484409448185,0.0
credit_history_A32,-0.0037292693790772465,0.0037292693790772465,0.0
duration_bucket_short_term,0.002967210356942028,0.002967210356942028,0.355
credit_amount_bucket_medium_low_amount,-0.002644106682395237,0.002644106682395237,0.0
checking_account_status_A13,0.0024343140725066144,0.0024343140725066144,0.06
job_A174,-0.0012583615266098791,0.0012583615266098791,0.0
purpose_A44,-0.0007442877380525485,0.0007442877380525485,0.0
personal_status_sex_A92,0.00011692999919469896,0.00011692999919469896,0.305
