feature_family,n_features,total_abs_coefficient,avg_abs_coefficient,avg_coefficient
purpose,10,4.2745947998080975,0.42745947998080974,-0.001606655996155465
savings_account,5,2.0449568747737823,0.40899137495475646,-0.003213311992311385
checking_account_status,4,1.9676165531317693,0.4919041382829423,-0.00401663999038579
credit_history,5,1.9390841243406487,0.38781682486812974,-0.0032133119923115627
credit_amount_bucket,4,1.554576555114889,0.3886441387787222,-0.004016639990388907
foreign_worker,2,1.317153576312641,0.6585767881563205,-0.008033279980773633
property,4,1.2643733386259353,0.3160933346564838,-0.004016639990389731
employment_since,5,1.2285665491453572,0.24571330982907144,-0.0032133119923118216
duration_bucket,4,1.2044884380268726,0.30112210950671814,-0.004016639990386428
age_bucket,4,1.1752778328407785,0.2938194582101946,-0.004016639990389453
personal_status_sex,4,1.068595022620308,0.267148755655077,-0.004016639990390272
other_installment_plans,3,1.066498810808926,0.35549960360297533,-0.005355519987186382
housing,3,0.9913577571767698,0.33045258572558994,-0.005355519987188029
other_debtors_guarantors,3,0.8953679348095931,0.29845597826986436,-0.0053555199871852905
credit_amount,4,0.7585980462221426,0.18964951155553564,0.0560938496981063
duration,3,0.7541934666417266,0.2513978222139089,0.2513978222139089
job,4,0.6098478822840625,0.15246197057101563,-0.004016639990388458
installment,2,0.48098703611134763,0.24049351805567382,0.24049351805567382
telephone,2,0.34743637798638594,0.17371818899319297,-0.008033279980775465
age,1,0.17988976997132503,0.17988976997132503,0.17988976997132503
people_liable,1,0.13456093487926596,0.13456093487926596,0.13456093487926596
existing_credits,1,0.09743330451020152,0.09743330451020152,0.09743330451020152
other,1,0.051088190097588214,0.051088190097588214,-0.051088190097588214
