feature,importance_mean,importance_std
checking_account_status_A14,0.03561904761904762,0.015448950385939212
credit_amount_per_month,0.025952380952380942,0.008769051174636937
duration_months,0.025732142857142842,0.00670854987608418
duration_years,0.025732142857142842,0.00670854987608418
checking_account_status_A11,0.01841071428571429,0.008938904734761567
credit_history_A34,0.016726190476190488,0.011532974267935073
purpose_A40,0.01539880952380952,0.0036674154693039284
purpose_A41,0.013577380952380941,0.005620696262379122
credit_amount_bucket_low_amount,0.012940476190476207,0.006954062500493572
credit_amount_bucket_medium_high_amount,0.009732142857142839,0.008967366115273285
age_bucket_young,0.009380952380952401,0.0047799657490779374
installment_burden_proxy,0.009291666666666698,0.0067529991447489186
other_debtors_guarantors_A103,0.006226190476190496,0.0021065374432940893
credit_amount_log,0.005047619047619051,0.004686969924677349
installment_rate_pct_income,0.004720238095238116,0.004139071032684193
checking_account_status_A12,0.0044166666666666686,0.001788054022732139
credit_history_A30,0.0042202380952380825,0.0031229244808232415
credit_history_A31,0.0034226190476190576,0.0015374551778950536
long_duration_flag,0.0033333333333333327,0.0013744716568925169
credit_amount,0.0033095238095238178,0.005519060972086223
age_bucket_senior,0.0032261904761904823,0.0020171107623689058
employment_since_A74,0.0028869047619047906,0.004945690736329011
other_debtors_guarantors_A102,0.0028333333333333322,0.0022795676281761102
job_A173,0.00257142857142858,0.0010462653591771357
property_A121,0.0017261904761904812,0.004221660885826885
job_A171,0.0015238095238095217,0.00131470835164559
foreign_worker_A202,0.0015119047619047699,0.0023780041270186846
property_A123,0.0014761904761904864,0.00105099564068301
present_residence_since,0.0014702380952380967,0.000947364018087257
telephone_A191,0.0013452380952380938,0.0018288829719722618
foreign_worker_A201,0.0013333333333333697,0.002346355788777217
housing_A151,0.0012559523809524131,0.00543533869653324
purpose_A43,0.0011964285714285594,0.0020274739234338044
telephone_A192,0.0011130952380952297,0.002105250360796224
housing_A153,0.0009464285714285536,0.003004738085710416
savings_account_A64,0.0009226190476190165,0.0023972285940170026
age_bucket_mid_career,0.0008750000000000036,0.004977454128686111
savings_account_A63,0.000821428571428584,0.0007805566651326648
people_liable,0.0007857142857142785,0.003605276116057647
duration_bucket_long_term,0.0007619047619047525,0.0010048070402861513
existing_credits,0.000720238095238096,0.0026930758089822116
personal_status_sex_A93,0.0006011904761904884,0.006031788781698959
purpose_A48,0.0004761904761904856,0.0010852285881026962
credit_history_A33,0.000458333333333355,0.0006737243341738924
personal_status_sex_A94,0.0004166666666666985,0.00041153300041533753
employment_since_A75,0.00041666666666665965,0.0003698148706430669
savings_account_A61,0.0003690476190476133,0.00595296425713376
credit_amount_bucket_medium_low_amount,0.0003452380952380818,0.00015011333586807403
housing_A152,0.00010119047619047138,0.00019660886386799683
purpose_A44,0.00010119047619044919,0.00011465095407296452
purpose_A410,5.952380952384262e-05,0.0021761631237209988
credit_history_A32,2.976190476192686e-05,0.00026318679725516336
age_bucket_early_career,1.7857142857158335e-05,0.0012589109815274878
job_A174,1.7857142857141683e-05,0.00012640928917616117
personal_status_sex_A92,1.7857142857136133e-05,4.2508502550834294e-05
checking_account_status_A13,-1.1904761904774075e-05,0.0003724878058848181
duration_bucket_short_term,-5.35714285714306e-05,0.00022736225303316576
purpose_A49,-8.928571428573062e-05,0.0008787577231833642
high_credit_amount_flag,-0.00019047619047618536,0.0010730146989756085
other_debtors_guarantors_A101,-0.00020238095238092613,0.0004108436649223182
credit_amount_bucket_high_amount,-0.00022023809523807336,0.00038626320435494445
other_installment_plans_A142,-0.00023214285714284188,0.0004944060661810979
savings_account_A62,-0.0005178571428571477,0.0012889482036355384
property_A124,-0.0005773809523809514,0.005034500444720523
employment_since_A71,-0.0007321428571428479,0.0020430718474141003
other_installment_plans_A143,-0.0009761904761904416,0.0027902892835177727
personal_status_sex_A91,-0.0012202380952380965,0.0024521714542971797
purpose_A45,-0.0012738095238094937,0.0014609912610459431
job_A172,-0.0014702380952380857,0.0013715169242373103
savings_account_A65,-0.0015119047619047699,0.0029609371026884474
property_A122,-0.0015416666666666745,0.0015651366642494041
employment_since_A73,-0.001702380952380994,0.0005989172013383733
employment_since_A72,-0.0018154761904761562,0.0028979904973796124
purpose_A42,-0.0021547619047619093,0.001376480855836825
other_installment_plans_A141,-0.004059523809523813,0.003373251625748109
duration_bucket_very_long_term,-0.004761904761904778,0.003563085493121446
purpose_A46,-0.006083333333333318,0.005949630316837305
age_years,-0.006178571428571417,0.005637241026828441
duration_bucket_medium_term,-0.009178571428571442,0.004267637139843255
