pd_multiplier,lgd,total_expected_loss,expected_loss_rate,expected_loss_multiplier_vs_base
1.0,0.35,569914.6052901294,0.1742187883958188,0.7777777777777777
1.0,0.4,651330.9774744336,0.19910718673807862,0.8888888888888887
1.0,0.45,732747.3496587378,0.22399558508033846,0.9999999999999999
1.0,0.5,814163.721843042,0.24888398342259827,1.111111111111111
1.0,0.55,895580.0940273462,0.27377238176485813,1.222222222222222
1.0,0.6,976996.4662116502,0.2986607801071179,1.3333333333333328
1.0,0.65,1058412.8383959546,0.32354917844937775,1.4444444444444442
1.0,0.7,1139829.2105802589,0.3484375767916376,1.5555555555555554
1.0,0.75,1221245.582764563,0.37332597513389737,1.6666666666666663
1.1,0.35,620751.5400413875,0.18975927305073081,0.8471563088293529
1.1,0.4,709430.3314758714,0.2168677406294066,0.9681786386621174
1.1,0.45,798109.1229103553,0.24397620820808244,1.089200968494882
1.1,0.5,886787.9143448393,0.27108467578675827,1.2102232983276469
1.1,0.55,975466.7057793232,0.2981931433654341,1.3312456281604115
1.1,0.6,1064145.4972138072,0.3253016109441099,1.4522679579931763
1.1,0.65,1152824.288648291,0.3524100785227857,1.5732902878259407
1.1,0.7,1241503.080082775,0.37951854610146163,1.6943126176587058
1.1,0.75,1330181.871517259,0.40662701368013743,1.8153349474914702
1.2,0.35,662678.1396109639,0.20257593244279842,0.9043746660013068
1.2,0.4,757346.445269673,0.2315153513631982,1.0335710468586363
1.2,0.45,852014.7509283822,0.260454770283598,1.162767427715966
1.2,0.5,946683.0565870912,0.28939418920399773,1.2919638085732954
1.2,0.55,1041351.3622458004,0.31833360812439754,1.4211601894306252
1.2,0.6,1136019.6679045095,0.3472730270447973,1.5503565702879545
1.2,0.65,1230687.9735632187,0.3762124459651971,1.6795529511452842
1.2,0.7,1325356.2792219277,0.40515186488559685,1.8087493320026136
1.2,0.75,1420024.584880637,0.43409128380599665,1.9379457128599433
1.3,0.35,697739.8611531565,0.21329404808583013,0.9522243396419169
1.3,0.4,797416.984175036,0.24376462638380586,1.0882563881621907
1.3,0.45,897094.1071969155,0.2742352046817816,1.2242884366824647
1.3,0.5,996771.2302187949,0.3047057829797573,1.3603204852027384
1.3,0.55,1096448.3532406744,0.33517636127773304,1.4963525337230121
1.3,0.6,1196125.4762625536,0.36564693957570865,1.6323845822432856
1.3,0.65,1295802.5992844335,0.39611751787368454,1.76841663076356
1.3,0.7,1395479.722306313,0.42658809617166027,1.9044486792838338
1.3,0.75,1495156.8453281922,0.4570586744696359,2.0404807278041073
1.4,0.35,727761.6565705214,0.22247149462699714,0.9931958906565292
1.4,0.4,831727.6075091674,0.2542531367165682,1.1350810178931763
1.4,0.45,935693.5584478133,0.2860347788061392,1.2769661451298233
1.4,0.5,1039659.5093864591,0.3178164208957102,1.4188512723664704
1.4,0.55,1143625.4603251049,0.3495980629852812,1.5607363996031172
1.4,0.6,1247591.4112637509,0.3813797050748522,1.7026215268397642
1.4,0.65,1351557.3622023968,0.41316134716442326,1.8445066540764112
1.4,0.7,1455523.3131410428,0.4449429892539943,1.9863917813130585
1.4,0.75,1559489.2640796888,0.4767246313435653,2.1282769085497057
1.5,0.35,753903.3188611693,0.2304628124290928,1.0288721197180506
1.5,0.4,861603.7929841934,0.2633860713475346,1.1758538511063434
1.5,0.45,969304.2671072176,0.29630933026597644,1.3228355824946365
1.5,0.5,1077004.7412302417,0.3292325891844183,1.4698173138829294
1.5,0.55,1184705.2153532659,0.36215584810286006,1.6167990452712222
1.5,0.6,1292405.68947629,0.3950791070213019,1.763780776659515
1.5,0.65,1400106.1635993142,0.4280023659397437,1.9107625080478081
1.5,0.7,1507806.6377223385,0.4609256248581856,2.057744239436101
1.5,0.75,1615507.1118453625,0.49384888377662733,2.204725970824394
1.6,0.35,776998.4189628691,0.23752281812161227,1.0603906234867178
1.6,0.4,887998.1931004218,0.2714546492818426,1.2118749982705346
1.6,0.45,998997.9672379745,0.3053864804420729,1.3633593730543514
1.6,0.5,1109997.7413755273,0.33931831160230325,1.5148437478381684
1.6,0.55,1220997.5155130797,0.3732501427625335,1.6663281226219848
1.6,0.6,1331997.2896506325,0.40718197392276384,1.8178124974058016
1.6,0.65,1442997.0637881854,0.4411138050829942,1.9692968721896187
1.6,0.7,1553996.8379257382,0.47504563624322454,2.1207812469734355
1.6,0.75,1664996.6120632908,0.5089774674034548,2.2722656217572523
1.7,0.35,797299.0834131823,0.24372858497042493,1.088095485824013
1.7,0.4,911198.9524722082,0.27854695425191417,1.243537698084586
1.7,0.45,1025098.8215312342,0.3133653235334034,1.3989799103451592
1.7,0.5,1138998.69059026,0.34818369281489264,1.5544221226057324
1.7,0.55,1252898.5596492863,0.383002062096382,1.7098643348663058
1.7,0.6,1366798.428708312,0.41782043137787117,1.8653065471268788
1.7,0.65,1480698.2977673383,0.4526388006593605,2.0207487593874522
1.7,0.7,1594598.1668263646,0.48745716994084987,2.176190971648026
1.7,0.75,1708498.0358853901,0.5222755392223389,2.3316331839085986
