risk_band,borrowers,total_ead,avg_pd,total_expected_loss,observed_default_rate,scenario,expected_loss_share,ead_share
elevated_risk,178,647615.0,0.502679600931842,149564.19184947285,0.3258426966292135,base,0.2041142720190381,0.19797123919910933
high_risk,322,1300055.0,0.7858519862643436,473754.64132460824,0.6242236024844721,base,0.646545690742177,0.3974174461323442
low_risk,302,776816.0,0.09861597781029384,34584.139160738065,0.04966887417218543,base,0.047197904130045536,0.23746705395905796
moderate_risk,198,546772.0,0.3008105670514544,74844.37732391868,0.13131313131313133,base,0.10214213310873922,0.1671442607094885
elevated_risk,178,647615.0,0.6017332264648768,200102.82069654862,0.3258426966292135,mild_stress,0.21259276265789634,0.19797123919910933
high_risk,322,1300055.0,0.9030754946070942,598469.5216061592,0.6242236024844721,mild_stress,0.6358245652006316,0.3974174461323442
low_risk,302,776816.0,0.11509711620369222,45593.154483165294,0.04966887417218543,mild_stress,0.04843897070578148,0.23746705395905796
moderate_risk,198,546772.0,0.348356394533415,97083.95213611831,0.13131313131313133,mild_stress,0.10314370143569075,0.1671442607094885
elevated_risk,178,667043.4500000001,0.71443853739117,271668.6450884318,0.3258426966292135,adverse_stress,0.2296538225704126,0.19797123919910933
high_risk,322,1339056.6500000001,0.972166524493247,722500.8087969068,0.6242236024844721,adverse_stress,0.6107626903222991,0.3974174461323442
low_risk,302,800120.48,0.1332669963189449,61365.31676761233,0.04966887417218543,adverse_stress,0.051874884436291936,0.23746705395905793
moderate_risk,198,563175.16,0.39832646443961806,127413.73004155538,0.13131313131313133,adverse_stress,0.1077086026709963,0.1671442607094885
elevated_risk,178,679995.75,0.8735154982627601,400056.9296066749,0.3258426966292135,severe_stress,0.2557817058719412,0.19797123919910933
high_risk,322,1365057.75,1.0,887287.5375000001,0.6242236024844721,severe_stress,0.567299059570839,0.3974174461323442
low_risk,302,815656.8,0.16129847421522697,90872.31289370173,0.04966887417218543,severe_stress,0.05810041893620536,0.23746705395905798
moderate_risk,198,574110.6,0.47837759105096644,185839.28977564553,0.13131313131313133,severe_stress,0.11881881562101433,0.1671442607094885
